Open,High,Low,Close,Volume,Dividends,Stock Splits,Date,name,Returns
1022.0,1027.8,1010.5,1022.3,1617105,0.0,0.0,2023-02-03,Cipla,-3.0
1020.0,1033.6,1010.15,1029.8,979035,0.0,0.0,2023-02-06,Cipla,7.5
1029.8,1034.85,1021.3,1031.3,965322,0.0,0.0,2023-02-07,Cipla,1.5
1035.0,1041.2,1019.15,1039.1,746863,0.0,0.0,2023-02-08,Cipla,7.8
1025.3,1044.6,1020.0,1021.5,1331902,0.0,0.0,2023-02-09,Cipla,-17.6
1021.0,1036.85,1015.05,1033.2,1106858,0.0,0.0,2023-02-10,Cipla,11.7
1036.0,1040.6,1019.0,1021.95,1042379,0.0,0.0,2023-02-13,Cipla,-11.25
1026.7,1032.45,1017.6,1028.35,759416,0.0,0.0,2023-02-14,Cipla,6.4
1026.85,1033.45,1016.1,1030.8,662924,0.0,0.0,2023-02-15,Cipla,2.45
1031.75,1038.0,1028.35,1035.5,667265,0.0,0.0,2023-02-16,Cipla,4.7
1035.5,1035.75,1021.15,1025.75,1509783,0.0,0.0,2023-02-17,Cipla,-9.75
998.0,998.0,955.25,964.0,5829572,0.0,0.0,2023-02-20,Cipla,-61.75
969.8,979.1,963.5,965.95,2042234,0.0,0.0,2023-02-21,Cipla,1.95
966.6,972.8,959.05,962.55,1602953,0.0,0.0,2023-02-22,Cipla,-3.4
965.0,967.45,956.0,960.3,1216409,0.0,0.0,2023-02-23,Cipla,-2.25
961.1,966.0,955.0,961.8,1585383,0.0,0.0,2023-02-24,Cipla,1.5
965.6,968.6,948.65,950.2,1377270,0.0,0.0,2023-02-27,Cipla,-11.6
945.9,945.9,903.1,906.4,5380673,0.0,0.0,2023-02-28,Cipla,-43.8
907.8,910.25,896.0,899.6,3496231,0.0,0.0,2023-03-01,Cipla,-6.8
901.95,903.0,884.5,886.45,1887367,0.0,0.0,2023-03-02,Cipla,-13.15
891.0,892.0,877.0,878.65,1892639,0.0,0.0,2023-03-03,Cipla,-7.8
885.0,885.55,869.05,880.9,4090356,0.0,0.0,2023-03-06,Cipla,2.25
883.7,883.8,871.1,877.25,2933956,0.0,0.0,2023-03-08,Cipla,-3.65
877.25,896.85,877.0,881.75,6176157,0.0,0.0,2023-03-09,Cipla,4.5
879.15,884.6,871.3,881.2,1718841,0.0,0.0,2023-03-10,Cipla,-0.55
882.6,889.1,872.15,874.8,1697362,0.0,0.0,2023-03-13,Cipla,-6.4
873.0,883.7,853.85,872.05,2444217,0.0,0.0,2023-03-14,Cipla,-2.75
875.0,883.4,872.6,877.95,1286900,0.0,0.0,2023-03-15,Cipla,5.9
881.0,890.0,876.75,883.45,2023997,0.0,0.0,2023-03-16,Cipla,5.5
